ts,node,slot,block_no,hash,era
2026-05-16T16:09:17Z,cardano-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:22Z,relay,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:22Z,dugite-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:22Z,cardano-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:27Z,relay,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:27Z,dugite-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:27Z,cardano-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:32Z,relay,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:32Z,dugite-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:32Z,cardano-bp,69,9,f5cb9883311a7945f14c8270c4e9ce2d09a89833d34ee7105827d13141a65ec4,Conway
2026-05-16T16:09:37Z,relay,101,11,8a642014ed27e2850f179ec9dc811653fbbda1c3298f095d37b9eae862525082,Conway
2026-05-16T16:09:37Z,dugite-bp,102,12,b0cc233a348afa6c310d6097f8c83d9d0c8602dfb057c98644f024bc9545acc3,Conway
2026-05-16T16:09:37Z,cardano-bp,101,11,8a642014ed27e2850f179ec9dc811653fbbda1c3298f095d37b9eae862525082,Conway
