ts	node_slot	koios_slot	delta	peers	rss_mb	errors	apply_fail
19:57:50Z	130449463	130449463	0	8	10586	0	0
20:02:51Z	130449757	130449757	0	12	9608	0	0
20:07:52Z	130450021	130450021	0	14	9609	0	0
20:12:54Z	130450366	130450366	0	15	9655	0	0
20:17:56Z	130450663	130450663	0	15	9656	0	0
20:22:57Z	130450953	130450953	0	15	9698	0	0
20:27:58Z	130451272	130451272	0	15	9698	0	0
20:33:00Z	130451573	130451573	0	15	9699	0	0
20:38:01Z	130451871	130451871	0	15	9699	0	0
20:43:03Z	130452179	130452179	0	15	9700	0	0
20:48:04Z	130452453	130452453	0	15	9704	0	0
20:53:06Z	130452747	130452747	0	30	9707	0	0
