ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T15:16:37Z,dugite-relay,recv,104,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,,,
2026-05-16T15:16:37.275276Z,cardano-bp,recv,104,0b42c01717ddfafcbac939c7cc04ae83695fc330332a7cb301e75607bf676d3f,,,
2026-05-16T15:16:43Z,dugite-bp,forge,111,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,,,
2026-05-16T15:16:43Z,dugite-relay,recv,111,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,,,
2026-05-16T15:16:43.272369Z,cardano-bp,recv,111,b82290e8162b3edd829e2372692f2a989e64a5ee6470a9744c71fee1a646646c,,,
2026-05-16T15:16:56Z,dugite-bp,forge,124,038d3448ee0c930b686a3e5436d1b6739684d2112438846bd8ae9809d8fcfbe2,,,
2026-05-16T15:16:57Z,dugite-bp,forge,125,eb131a0b39c33fbe0c3fca539789e5370757ed4deab15aa835d0bc31753d445c,,,
2026-05-16T15:16:57Z,dugite-relay,recv,124,038d3448ee0c930b686a3e5436d1b6739684d2112438846bd8ae9809d8fcfbe2,,,
2026-05-16T15:16:57Z,dugite-relay,recv,125,eb131a0b39c33fbe0c3fca539789e5370757ed4deab15aa835d0bc31753d445c,,,
2026-05-16T15:16:57.277534Z,cardano-bp,recv,124,038d3448ee0c930b686a3e5436d1b6739684d2112438846bd8ae9809d8fcfbe2,,,
2026-05-16T15:16:57.278661Z,cardano-bp,recv,125,eb131a0b39c33fbe0c3fca539789e5370757ed4deab15aa835d0bc31753d445c,,,
2026-05-16T15:17:00.001935Z,cardano-bp,forge,128,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,,,
2026-05-16T15:17:00.002811Z,cardano-bp,recv,128,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,,,
2026-05-16T15:17:00.003009Z,cardano-bp,forge,128,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,,,
2026-05-16T15:17:01.00304Z,cardano-bp,forge,129,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,,,
2026-05-16T15:17:01.004985Z,cardano-bp,recv,129,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,,,
2026-05-16T15:17:01.00535Z,cardano-bp,forge,129,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,,,
2026-05-16T15:17:01Z,dugite-relay,recv,128,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,,,
2026-05-16T15:17:01Z,dugite-relay,recv,129,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,,,
2026-05-16T15:17:02Z,dugite-bp,recv,128,d4bf1e2e9e90b159d8ff2840d15aea7dd29df61e7c4436f584729af93bf54f14,,,
2026-05-16T15:17:02Z,dugite-bp,recv,129,d0135bd96b1691ac3f63dbc2725849d7961d1e4d9cdce98239580b292e09be48,,,
2026-05-16T15:17:09Z,dugite-bp,forge,137,b943fa15bd001f6b819075ce605f2b23bdc9ea802c0255caf2ae2598f3b7c79d,,,
2026-05-16T15:17:09Z,dugite-relay,recv,137,b943fa15bd001f6b819075ce605f2b23bdc9ea802c0255caf2ae2598f3b7c79d,,,
2026-05-16T15:17:09.274789Z,cardano-bp,recv,137,b943fa15bd001f6b819075ce605f2b23bdc9ea802c0255caf2ae2598f3b7c79d,,,
2026-05-16T15:17:15.00192Z,cardano-bp,forge,143,7c8efcc9a751567f8334972dfac92f25fc5aee32bc4bf380b5a46659abb7acac,,,
2026-05-16T15:17:15.002713Z,cardano-bp,recv,143,7c8efcc9a751567f8334972dfac92f25fc5aee32bc4bf380b5a46659abb7acac,,,
2026-05-16T15:17:15Z,dugite-bp,forge,143,b41741dfd7d6a09720da0282380541c432bce56a59f93201fcf48506f791055f,,,
2026-05-16T15:17:15.002893Z,cardano-bp,forge,143,7c8efcc9a751567f8334972dfac92f25fc5aee32bc4bf380b5a46659abb7acac,,,
2026-05-16T15:17:15Z,dugite-relay,recv,143,b41741dfd7d6a09720da0282380541c432bce56a59f93201fcf48506f791055f,,,
2026-05-16T15:17:22.002586Z,cardano-bp,forge,150,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,,,
2026-05-16T15:17:22.003515Z,cardano-bp,recv,150,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,,,
2026-05-16T15:17:22.003679Z,cardano-bp,forge,150,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,,,
2026-05-16T15:17:23Z,dugite-relay,recv,150,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,,,
2026-05-16T15:17:24Z,dugite-bp,recv,150,873a9fb8f93c3bff848dd0beec562c7e4f23dda03fd05286a315d403d6eb7d2b,,,
2026-05-16T15:17:34Z,dugite-bp,forge,162,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,,,
2026-05-16T15:17:35Z,dugite-relay,recv,162,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,,,
2026-05-16T15:17:35.274448Z,cardano-bp,recv,162,39f59d815499bf1c1975b71cbbe0fb04e08341345ceb86ffd7ba6e0b7a1bae61,,,
2026-05-16T15:17:40Z,dugite-bp,forge,168,ef133a9b5a2591261a84134905542af08352957a26614d9df7f6e38ca9f51ac8,,,
2026-05-16T15:17:41Z,dugite-relay,recv,168,ef133a9b5a2591261a84134905542af08352957a26614d9df7f6e38ca9f51ac8,,,
2026-05-16T15:17:41.27839Z,cardano-bp,recv,168,ef133a9b5a2591261a84134905542af08352957a26614d9df7f6e38ca9f51ac8,,,
2026-05-16T15:17:45.002438Z,cardano-bp,forge,173,e9254707ad9ade83b698c413de7a20663cebd30ddde1ba8ae2d3d918e1791860,,,
2026-05-16T15:17:45.003132Z,cardano-bp,recv,173,e9254707ad9ade83b698c413de7a20663cebd30ddde1ba8ae2d3d918e1791860,,,
2026-05-16T15:17:45.003361Z,cardano-bp,forge,173,e9254707ad9ade83b698c413de7a20663cebd30ddde1ba8ae2d3d918e1791860,,,
2026-05-16T15:17:45Z,dugite-relay,recv,173,e9254707ad9ade83b698c413de7a20663cebd30ddde1ba8ae2d3d918e1791860,,,
2026-05-16T15:17:46Z,dugite-bp,recv,173,e9254707ad9ade83b698c413de7a20663cebd30ddde1ba8ae2d3d918e1791860,,,
2026-05-16T15:17:49.003466Z,cardano-bp,forge,177,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,,,
2026-05-16T15:17:49.005321Z,cardano-bp,recv,177,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,,,
2026-05-16T15:17:49.006006Z,cardano-bp,forge,177,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,,,
2026-05-16T15:17:49Z,dugite-relay,recv,177,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,,,
2026-05-16T15:17:50Z,dugite-bp,recv,177,dfdec50ed68bdb97313e07848f73c834b0f944062094751e57a84adc862fe4c6,,,
2026-05-16T15:17:51Z,dugite-bp,forge,179,80f5d2161036f9a8a3d1ce8aa1dadcdd7481acd88e423fb26570d45a5b0dcc62,,,
2026-05-16T15:17:51Z,dugite-relay,recv,179,80f5d2161036f9a8a3d1ce8aa1dadcdd7481acd88e423fb26570d45a5b0dcc62,,,
2026-05-16T15:17:51.273772Z,cardano-bp,recv,179,80f5d2161036f9a8a3d1ce8aa1dadcdd7481acd88e423fb26570d45a5b0dcc62,,,
2026-05-16T15:17:59Z,dugite-bp,forge,187,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,,,
2026-05-16T15:17:59Z,dugite-relay,recv,187,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,,,
2026-05-16T15:17:59.274895Z,cardano-bp,recv,187,3461426a55cd45735e0ea9d0c061d358733681b6030292af5990da7e2e628a12,,,
2026-05-16T15:18:00.002888Z,cardano-bp,forge,188,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,,,
2026-05-16T15:18:00.004085Z,cardano-bp,recv,188,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,,,
2026-05-16T15:18:00.00457Z,cardano-bp,forge,188,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,,,
2026-05-16T15:18:01Z,dugite-relay,recv,188,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,,,
2026-05-16T15:18:02Z,dugite-bp,recv,188,7727c87148bf85ba38540fe4efccdf706bfbac412ab186edd04cf1ef918957f2,,,
2026-05-16T15:18:03.003397Z,cardano-bp,forge,191,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,,,
2026-05-16T15:18:03.005293Z,cardano-bp,recv,191,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,,,
2026-05-16T15:18:03.006316Z,cardano-bp,forge,191,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,,,
2026-05-16T15:18:03Z,dugite-relay,recv,191,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,,,
