ts	node_slot	koios_slot	delta	peers	rss_mb	errors	apply_fail
16:06:44Z	130521967	130521967	0	8	10336	0	0
16:11:45Z	130522287	130522287	0	13	9393	0	0
16:16:47Z	130522517	130522517	0	15	9396	0	0
16:21:48Z	130522778	130522778	0	15	9440	0	0
16:26:49Z	130523191	130523191	0	15	9442	0	0
16:31:51Z	130523498	130523498	0	15	9442	0	0
16:36:52Z	130523791	130523791	0	15	9445	0	0
16:41:54Z	130524080	130524080	0	15	9445	0	0
16:46:55Z	130524400	130524400	0	15	9446	0	0
16:51:57Z	130524673	130524673	0	15	9446	0	0
16:56:58Z	130524990	130524990	0	25	9454	0	0
17:02:00Z	130525316	130525316	0	15	9457	0	0
